,,,Life expectancy,,,,,,Premature age-adjusted mortality,,,,,,,Child mortality,,,,,,,Infant mortality,,,,,,,Frequent physical distress,,,Frequent mental distress,,,Diabetes prevalence,,,HIV prevalence,,Food insecurity,,Limited access to healthy foods,,Drug overdose deaths,,Motor vehicle crash deaths,,,,Insufficient sleep,,,Uninsured adults,,,,Uninsured children,,,,Other primary care providers,,Disconnected youth,Median household income,,,,,,Children eligible for free or reduced price lunch,Residential segregation - black/white,Residential segregation - non-white/white,Homicides,,,Firearm fatalities,,,,Homeownership,,,,Severe housing cost burden,,,,Demographics,,,,,,,,,,,,,,,,,,,,,
FIPS,State,County,Life Expectancy,95% CI - Low,95% CI - High,Life Expectancy (Black),Life Expectancy (Hispanic),Life Expectancy (White),# Deaths,Age-Adjusted Mortality,95% CI - Low,95% CI - High,Age-Adjusted Mortality (Black),Age-Adjusted Mortality (Hispanic),Age-Adjusted Mortality (White),# Deaths,Child Mortality Rate,95% CI - Low,95% CI - High,Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),# Deaths,Infant Mortality Rate,95% CI - Low,95% CI - High,Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),% Frequent Physical Distress,95% CI - Low,95% CI - High,% Frequent Mental Distress,95% CI - Low,95% CI - High,% Diabetic,95% CI - Low,95% CI - High,# HIV Cases,HIV Prevalence Rate,# Food Insecure,% Food Insecure,# Limited Access,% Limited Access,# Drug Overdose Deaths,Drug Overdose Mortality Rate,# Motor Vehicle Deaths,MV Mortality Rate,95% CI - Low,95% CI - High,% Insufficient Sleep,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Other PCP Rate,Other PCP Ratio,% Disconnected Youth,Household Income,95% CI - Low,95% CI - High,Household income (Black),Household income (Hispanic),Household income (White),% Free or Reduced Lunch,Segregation index,Segregation Index,Homicide Rate,95% CI - Low,95% CI - High,# Firearm Fatalities,Firearm Fatalities Rate,95% CI - Low,95% CI - High,# Homeowners,% Homeowners,95% CI - Low,95% CI - High,# Households with Severe Cost Burden,% Severe Housing Cost Burden,95% CI - Low,95% CI - High,Population,% < 18,% 65 and over,# African American,% African American,# American Indian/Alaskan Native,% American Indian/Alaskan Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White,# Not Proficient in English,% Not Proficient in English,95% CI - Low,95% CI - High,% Female,# Rural,% Rural
48000,Texas,,79.0,79.0,79.1,,,,290962,341,340,342,,,,14857,51,50,52,,,,15805,6,6,6,,,,11,10,12,11,10,12,10,,,81873,369,4277540,15,2180417,9,8408,10,24971,13,13,13,33,31,34,3783923,23,22,23,735079,10,9,10,73,1376:1,8,59195,58620,59770,,,,59,54,40,5,5,5,15695,12,11,12,5851046,62,62,62,1223964,13,13,14,28304596,26.0,12.3,3368473,11.9,287312,1.0,1417555,5.0,40740,0.1,11156514,39.4,11886381,42.0,1949158,8,8,8,50.3,3847522,15.3
48001,Texas,Anderson,73.8,73.1,74.5,70.9,82.9,74.1,1075,544,511,577,722,597,516,21,47,29,72,,,,,,,,,,,12,12,12,11,11,12,11,8,14,375,757,11160,19,9059,15,24,14,78,19,15,24,35,34,36,5196,21,18,23,1310,11,8,14,42,2406:1,14,42412,38671,46153,24427,37635,48013,61,36,35,5,3,8,41,14,10,19,11748,71,68,73,1560,10,8,12,57741,19.6,14.5,11945,20.7,391,0.7,520,0.9,83,0.1,10287,17.8,34140,59.1,1488,3,2,3,39.1,39204,67.1
48003,Texas,Andrews,76.8,75.4,78.1,,78.8,75.8,193,399,342,456,,362,434,,,,,,,,,,,,,,,10,10,11,10,10,10,9,6,12,11,79,1470,9,1730,12,,,51,43,32,56,32,31,33,2243,22,19,24,701,12,9,15,62,1611:1,,63451,55281,71621,38359,66319,73648,42,28,11,,,,12,14,7,24,3981,74,69,78,396,8,4,11,17722,30.9,10.5,246,1.4,260,1.5,133,0.8,4,0.0,9958,56.2,7131,40.2,1184,7,5,10,49.0,2440,16.5
48005,Texas,Angelina,76.3,75.7,77.0,72.4,89.4,75.9,1335,455,430,480,677,206,467,51,56,42,74,99,45,50,47,5,4,7,,,,13,13,13,13,12,13,14,12,15,140,196,17480,20,9502,11,34,13,122,20,16,23,35,34,35,12038,24,22,27,2397,10,8,13,65,1540:1,12,45318,40792,49844,28509,41673,51631,66,42,37,6,5,9,58,13,10,17,20424,66,64,68,3698,12,11,14,87805,25.8,15.8,12983,14.8,662,0.8,1023,1.2,56,0.1,19475,22.2,53264,60.7,3650,4,4,5,51.3,37383,43.1
48007,Texas,Aransas,76.9,75.8,78.0,,79.6,75.4,523,470,424,516,,343,531,,,,,,,,,,,,,,,12,12,12,12,12,12,14,10,19,31,142,3860,16,4617,20,14,18,33,19,13,27,30,29,31,3336,24,22,27,622,13,9,16,39,2557:1,,46970,41586,52354,,43302,45496,56,34,27,,,,25,20,13,29,7039,74,67,80,1171,13,9,16,25572,18.7,27.3,348,1.4,318,1.2,494,1.9,21,0.1,7072,27.7,17177,67.2,375,2,1,3,50.5,6313,27.3
48009,Texas,Archer,77.0,74.8,79.3,,,,131,409,335,484,,,,,,,,,,,,,,,,,,10,9,10,10,10,11,11,8,15,,,1290,15,492,5,,,16,26,15,42,29,28,30,1024,20,17,22,260,13,9,17,11,8809:1,,58311,51372,65250,,34375,65504,32,,22,,,,,,,,2752,82,80,85,236,7,3,11,8809,21.8,19.9,67,0.8,125,1.4,38,0.4,3,0.0,765,8.7,7754,88.0,69,1,0,2,50.4,8057,89.0
48011,Texas,Armstrong,72.4,67.8,77.0,,,,38,553,376,785,,,,,,,,,,,,,,,,,,9,9,9,10,9,10,11,8,15,,,260,14,376,20,,,,,,,29,28,30,178,17,15,20,56,12,9,16,53,1879:1,,55337,48441,62233,,150250,64737,51,,,,,,,,,,569,81,76,86,66,10,1,18,1879,22.4,22.9,16,0.9,28,1.5,2,0.1,0,0.0,141,7.5,1684,89.6,11,1,0,4,51.3,1901,100.0
48013,Texas,Atascosa,78.3,77.4,79.1,,78.9,77.5,599,379,348,410,,359,402,20,37,23,58,,,,21,5,3,7,,,,12,12,13,11,11,11,12,8,16,50,129,4060,9,3655,8,11,8,68,20,16,26,33,32,34,6389,23,20,25,1327,9,7,12,45,2226:1,13,48636,42981,54291,72827,49619,66601,63,44,15,9,6,13,40,17,12,23,11537,74,72,77,1153,8,6,10,48981,27.3,14.4,340,0.7,601,1.2,311,0.6,58,0.1,31578,64.5,16349,33.4,1659,4,3,5,50.2,27266,60.7
48015,Texas,Austin,79.1,78.0,80.2,74.7,84.6,78.5,385,340,304,376,591,213,355,14,49,27,82,,,,,,,,,,,11,10,11,11,11,11,10,8,14,55,225,4610,16,994,3,,,44,22,16,29,30,29,31,3700,22,19,24,810,11,8,14,44,2291:1,,61111,55163,67059,40096,49375,74375,54,20,18,,,,28,19,13,28,8175,74,71,77,1003,10,7,12,29786,24.1,18.6,2636,8.8,243,0.8,215,0.7,12,0.0,8083,27.1,18469,62.0,1415,5,4,7,50.4,18853,66.3
